Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
41.0,Secondary or below,Services / household and domestic,Caste,Hindu,34.0,155.4,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,1
37.0,Secondary or below,Other,No caste / tribe,Muslim,40.0,153.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Tripura,0
46.0,Secondary or below,Services / household and domestic,Tribe,Christian,44.0,153.2,Secondary or below,Not working,Tribe,Christian,Rural,Nagaland,0
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,143.4,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
38.0,Secondary or below,Agricultural,Tribe,Hindu,35.0,153.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,1
39.0,Secondary or below,Other,Caste,Hindu,32.0,144.4,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
29.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,24.0,143.7,Secondary or below,Not working,Caste,Muslim,Urban,Telangana,1
39.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,37.0,148.7,Higher Secondary,Not working,Caste,Hindu,Urban,Andhra Pradesh,0
39.0,Secondary or below,Agricultural,Caste,Hindu,37.0,152.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Gujarat,1
23.0,Secondary or below,Agricultural,Caste,Hindu,21.0,142.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
46.0,Secondary or below,Sales,Caste,Hindu,43.0,139.0,Secondary or below,Not working,Caste,Hindu,Urban,Karnataka,1
52.0,Secondary or below,Agricultural,Caste,Hindu,48.0,148.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
49.0,Secondary or below,Agricultural,Caste,Buddhist / Neo-Buddhist,44.0,154.7,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,0
34.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,24.0,153.4,Secondary or below,Not working,Caste,Muslim,Urban,Andhra Pradesh,0
53.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,No caste / tribe,Hindu,49.0,151.2,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,Nct Of Delhi,0
40.0,Secondary or below,Not working,Caste,Hindu,37.0,157.7,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,0
24.0,Secondary or below,Agricultural,Tribe,Hindu,19.0,141.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Maharashtra,0
28.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24.0,159.1,Higher Secondary,Not working,Caste,Hindu,Urban,Punjab,1
28.0,Secondary or below,Agricultural,Caste,Hindu,26.0,150.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
