Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
29,Higher Secondary,Services / household and domestic,Caste,Muslim,26,158.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Respondent and husband/partner,Never afraid,1
38,Higher Secondary,Agricultural,Caste,Muslim,35,160.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
35,Higher Secondary,Services / household and domestic,Caste,Muslim,30,157.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
35,Higher Secondary,Services / household and domestic,Caste,Muslim,30,155.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
38,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,36,158.6,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
33,Post-Graduate (MBA/MA),Professional / technical / managerial,No caste / tribe,Muslim,30,162.7,Post-Graduate (MBA/MA),Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
42,Secondary or below,Agricultural,Caste,Muslim,38,160.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
29,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,27,149.7,Graduate (B.Tech/B.Sc/BA),Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
52,Higher Secondary,Other,Caste,Muslim,46,157.2,Secondary or below,Clerical,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
32,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,26,158.9,Higher Secondary,Sales,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
35,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,155.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
